name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,age,points,games_played,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls
Jae'Sean Tate,Houston Rockets,United States,8,SF,PF,Versatile Defender,"6'4""",230,"6'8""",7065217,7,1995-10-28,73,94,70,72,73,50,69,70,65,89,80,70,74,72,65,70,70,59,52,56,62,28,4.1,65,9,15.9,1.7,3.5,0.472,0.4,1.2,0.299,1.3,2.3,0.559,0.522,0.4,0.6,0.667,0.9,2.1,3,1,0.6,0.2,0.6,2.1
Jaime Jaquez Jr.,Miami Heat,United States,11,SF,PF,Shot-Creating 3-Level Threat,"6'6""",230,"6'10""",3685800,2,2001-02-18,79,93,84,76,86,80,67,75,68,88,80,70,73,74,66,68,72,53,47,47,52,22,11.9,75,20,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2
Jake LaRavia,Memphis Grizzlies,United States,3,PF,SF,Stretch Four,"6'7""",235,"6'10""",3352680,3,2001-11-03,74,70,76,77,78,85,59,69,62,88,80,69,68,68,55,69,43,53,53,58,52,22,10.8,35,6,23,3.4,8.7,0.389,1.5,4.5,0.34,1.9,4.2,0.442,0.477,2.6,3.1,0.826,1.5,2.2,3.7,1.7,0.8,0.3,1.3,2
Jakob Poeltl,Toronto Raptors,Austria,19,C,NA,Defensive Anchor,"7'0""",245,"7'3""",19500000,9,1995-10-15,80,96,59,45,51,70,51,37,80,80,80,69,38,62,68,81,45,40,85,75,85,28,11.1,50,50,26.4,5,7.6,0.656,0,0,0,5,7.6,0.656,0.656,1.2,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3
Ja'Kobe Walter,Toronto Raptors,United States,14,SF,SG,3 & D Threat,"6'5""",180,"6'9""",3465000,1,2004-09-04,70,72,74,76,79,50,90,82,57,88,80,69,70,69,54,47,66,57,47,47,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Brunson,New York Knicks,United States,11,PG,NA,Offensive Architect,"6'2""",190,"6'4""",24960001,7,1996-08-31,93,98,93,86,87,90,84,84,60,98,81,96,95,98,60,55,73,41,35,34,49,27,28.7,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9
Jalen Duren,Detroit Pistons,United States,0,C,NA,Board-Hunting Lob Threat,"6'10""",250,"7'5""",4536840,3,2003-11-18,81,97,55,35,57,75,73,73,81,89,80,59,59,50,61,72,62,36,62,79,95,20,13.8,61,60,29.1,5.7,9.2,0.619,0,0.1,0,5.7,9.2,0.623,0.619,2.3,3,0.79,3.1,8.5,11.6,2.4,0.5,0.8,2.1,3.1
Jalen Green,Houston Rockets,United States,4,SG,PG,3-Level Slasher,"6'4""",186,"6'8""",12483048,4,2002-02-09,84,79,83,80,80,70,88,88,55,88,80,77,86,79,58,45,73,40,50,33,65,21,19.6,82,82,31.7,6.9,16.2,0.423,2.5,7.4,0.332,4.4,8.9,0.498,0.498,3.5,4.3,0.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4
Jalen Hood-Schifino,Los Angeles Lakers,United States,0,PG,SG,Steady Playmaker,"6'5""",215,"6'10""",3879840,2,2003-06-19,72,73,79,65,77,70,79,79,48,85,80,78,82,77,55,52,74,40,45,31,49,20,1.6,21,0,5.2,0.5,2.1,0.222,0.1,0.7,0.133,0.4,1.4,0.267,0.244,0.6,1,0.6,0.1,0.5,0.6,0.4,0.1,0.1,0.4,0.6
Jalen Johnson,Atlanta Hawks,United States,1,PF,SF,3-Level Scoring Threat,"6'8""",219,"7'0""",4510905,4,2001-12-18,80,92,76,79,76,75,76,76,68,85,80,68,58,69,59,66,66,49,62,45,86,22,16,56,52,33.7,6.4,12.5,0.511,1.3,3.6,0.355,5.1,9,0.574,0.562,1.9,2.6,0.728,1.3,7.4,8.7,3.6,1.2,0.8,1.8,2.4
Jalen McDaniels,Sacramento Kings,United States,7,PF,SF,Mid-Range Scoring Threat,"6'9""",205,"7'0""",4741800,6,1998-01-31,72,87,80,60,84,70,73,73,60,80,80,55,69,59,50,59,55,49,50,42,57,26,3.4,50,1,10.8,1.3,3.8,0.344,0.2,1.4,0.169,1.1,2.4,0.449,0.376,0.5,0.7,0.73,0.4,1.2,1.6,0.7,0.4,0.1,0.6,1
Jalen Pickett,Denver Nuggets,United States,24,PG,SG,Steady Playmaker,"6'2""",202,"6'7""",1891857,2,1999-10-22,70,76,68,76,76,75,72,72,59,88,79,72,75,74,54,47,62,47,48,52,60,24,1.6,27,0,4.5,0.6,1.3,0.429,0.3,0.9,0.36,0.2,0.4,0.6,0.557,0.1,0.1,0.75,0,0.5,0.5,0.8,0.1,0,0.3,0.5
Jalen Smith,Chicago Bulls,United States,7,C,PF,Inside-Out Board Hunter,"6'9""",215,"7'2""",8571429,5,2000-03-16,77,97,72,83,74,70,69,68,65,82,80,29,38,40,56,70,48,35,68,80,85,23,9.9,61,14,17.2,3.8,6.5,0.592,1,2.4,0.424,2.8,4.1,0.689,0.67,1.2,1.7,0.692,1.8,3.7,5.5,1,0.3,0.6,0.7,2
Jalen Suggs,Orlando Magic,United States,4,PG,SG,2-Way Inside-Out ISO Creator,"6'5""",205,"6'6""",9188385,4,2001-06-03,82,91,73,83,77,70,88,93,59,88,80,78,86,84,77,55,93,80,62,38,51,22,12.6,75,75,27,4.5,9.5,0.471,2,5.1,0.397,2.4,4.4,0.556,0.578,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7
Jalen Williams,Oklahoma City Thunder,United States,8,PF,SF,Walking Bucket,"6'5""",211,"7'2""",4775760,3,2001-04-14,86,96,96,88,83,88,87,87,50,90,80,78,86,78,67,55,77,49,58,48,64,22,19.1,71,71,31.3,7.5,14,0.54,1.5,3.4,0.427,6.1,10.6,0.576,0.592,2.5,3.1,0.814,0.5,3.5,4,4.5,1.1,0.6,1.7,2.5
Jalen Wilson,Brooklyn Nets,United States,22,SF,PF,Catch & Shoot Threat,"6'6""",220,"6'8""",1891857,2,2000-11-04,71,77,72,75,79,75,82,79,30,80,80,64,68,63,44,35,57,35,37,62,61,23,5,43,3,15.4,1.8,4.2,0.425,0.6,1.7,0.324,1.2,2.4,0.495,0.492,0.9,1.1,0.826,1.1,2,3,1,0.3,0.1,0.4,1.1
Jamal Cain,New Orleans Pelicans,United States,8,SF,PF,Ball Hawk,"6'7""",210,"6'11""",NA,3,1999-03-20,70,77,59,76,77,75,66,68,60,80,83,44,53,49,59,60,68,73,57,57,48,24,3.7,26,1,10,1.3,3,0.43,0.4,1.2,0.355,0.9,1.8,0.479,0.5,0.7,0.9,0.783,0.6,0.8,1.4,0.4,0.4,0.2,0.3,0.8
Jamal Murray,Denver Nuggets,Canada,27,PG,SG,Offensive Architect,"6'4""",215,"6'7""",36016200,9,1997-02-23,87,87,93,86,92,70,80,80,54,95,78,84,89,85,61,35,77,43,57,37,53,26,21.2,59,59,31.5,8,16.7,0.481,2.5,5.8,0.425,5.6,10.9,0.51,0.554,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1,0.7,2.1,1.8
Jamal Shead,Toronto Raptors,United States,23,PG,SG,Mid-Range Shot Creator,"6'1""",195,"6'5""",NA,1,2002-07-24,69,74,74,74,77,40,97,94,49,88,80,79,86,77,59,34,77,75,37,34,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Harden,Los Angeles Clippers,United States,1,PG,SG,Playmaking Inside-Out Scorer,"6'5""",220,"6'11""",33653846,16,1989-08-26,84,75,81,85,87,45,85,85,71,98,95,82,95,94,64,62,70,43,61,33,63,34,16.6,72,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,2.3,4.6,0.497,0.541,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8
James Johnson,Indiana Pacers,United States,16,PF,C,Versatile Defender,"6'7""",240,"7'1""",NA,16,1987-02-20,70,77,60,68,63,30,67,74,80,84,83,70,74,70,72,74,74,63,72,46,69,36,0.9,9,0,5.2,0.3,1.1,0.3,0,0.2,0,0.3,0.9,0.375,0.3,0.2,0.2,1,0.1,0.3,0.4,0.9,0.6,0.1,0.6,1
James Wiseman,Indiana Pacers,United States,13,C,NA,Board-Hunting Lob Threat,"6'11""",240,"7'6""",2237691,5,1998-03-31,75,94,67,67,70,55,70,70,70,87,87,54,66,64,60,74,50,31,71,75,84,22,7.1,63,6,17.3,3,4.8,0.613,0,0,0,3,4.8,0.617,0.613,1.1,1.6,0.706,1.7,3.6,5.3,0.9,0.2,0.6,1,2.2
Jarace Walker,Indiana Pacers,United States,5,PF,C,3-Level Scoring Threat,"6'7""",235,"7'3""",6362520,2,2003-09-04,74,80,80,78,66,65,81,81,80,90,80,69,62,68,68,70,67,70,76,45,68,20,3.6,33,0,10.3,1.4,3.3,0.409,0.7,1.7,0.4,0.7,1.7,0.418,0.509,0.2,0.3,0.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9
Jared Butler,Washington Wizards,United States,4,PG,NA,Steady Playmaker,"6'3""",193,"6'4""",2196970,4,2000-08-25,71,90,65,73,82,70,80,80,50,83,80,69,82,68,52,30,60,73,51,33,48,23,6.3,40,0,14.2,2.5,5,0.488,0.6,2,0.308,1.9,3.1,0.602,0.547,0.8,0.9,0.861,0.2,1.2,1.5,3.2,0.7,0.2,1.3,1.5
Jared McCain,Philadelphia 76ers,United States,20,SG,SF,Perimeter Shot Creator,"6'3""",197,"6'7""",4020360,1,2004-02-20,70,74,80,82,86,50,76,76,52,90,80,68,82,67,54,45,63,57,37,37,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Rhoden,Toronto Raptors,United States,8,PF,SF,Spot-Up Threat,"6'5""",210,"6'9""",NA,3,1999-08-27,70,56,80,77,80,70,68,72,62,80,82,55,69,54,58,47,68,32,74,54,61,24,4.9,17,0,14.4,1.9,3.9,0.5,0.7,1.8,0.387,1.2,2.1,0.6,0.591,0.3,0.5,0.625,0.2,1.8,1.9,0.8,0.2,0.8,0.4,1.6
Jaren Jackson Jr.,Memphis Grizzlies,United States,13,C,PF,2-Way Inside-Out Threat,"6'10""",242,"7'5""",25257798,7,1999-09-15,87,88,68,78,84,90,63,80,82,90,94,45,60,50,81,90,80,53,83,46,63,24,22.5,66,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,6,12.1,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6
Jarred Vanderbilt,Los Angeles Lakers,United States,2,PF,C,2-Way Interior Threat,"6'8""",214,"7'1""",10714286,7,1999-04-03,78,85,69,66,69,65,75,83,70,75,78,60,65,38,78,83,83,85,45,65,73,24,5.2,29,6,20,2,3.9,0.518,0.3,0.9,0.296,1.8,3,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1,1.5
Jarrett Allen,Cleveland Cavaliers,United States,31,C,NA,Paint Beast,"6'9""",243,"7'5""",20000000,8,1998-04-21,84,97,82,63,70,80,75,72,84,92,82,25,35,48,73,89,72,38,70,78,87,25,16.5,77,77,31.7,6.7,10.6,0.634,0,0.1,0,6.7,10.6,0.638,0.634,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9
Jason Preston,Utah Jazz,United States,10,PG,SG,3PT Playmaker,"6'3""",181,"6'9""",NA,4,1999-08-10,69,71,70,75,62,50,82,82,52,85,80,84,75,84,50,40,64,35,25,68,67,24,1.7,7,0,10.1,0.9,2.7,0.316,0,0.4,0,0.9,2.3,0.375,0.316,0,0,0,0.9,1.6,2.4,2.3,0.3,0.1,0.3,0.4
Javonte Green,New Orleans Pelicans,United States,26,PF,SF,Slashing Stretch Four,"6'5""",205,"7'0""",NA,10,1993-07-23,74,73,70,82,67,60,72,74,46,80,82,60,72,68,74,74,77,66,75,68,83,30,12.2,9,5,25.6,5,8.3,0.6,1.1,3,0.37,3.9,5.3,0.729,0.667,1.1,1.4,0.769,2.2,5.2,7.4,0.6,1.1,0.9,0.8,2.1
Jaxson Hayes,Los Angeles Lakers,United States,11,C,PF,Interior Threat,"7'0""",220,"7'4""",2463946,6,2000-05-23,73,92,68,60,56,45,58,64,72,80,80,29,38,40,62,78,48,53,68,67,68,23,4.3,70,5,12.5,1.8,2.5,0.72,0,0.1,0,1.8,2.4,0.754,0.72,0.7,1.2,0.622,1,2,3,0.5,0.5,0.4,0.6,1.8
Jay Huff,Memphis Grizzlies,United States,30,C,NA,Stretch Five,"7'1""",240,"7'5""",NA,4,1997-08-25,67,77,72,77,77,50,48,47,62,80,77,50,43,60,52,62,32,32,69,64,68,25,1.2,20,0,2.5,0.5,0.8,0.6,0.2,0.5,0.333,0.3,0.3,1,0.7,0.1,0.1,1,0.1,0.5,0.6,0.1,0.1,0.2,0.1,0.5
Jaylen Brown,Boston Celtics,United States,7,SF,SG,2-Way Scoring Phenom,"6'6""",223,"7'0""",49700000,9,1996-10-24,92,93,96,83,72,80,79,87,69,95,82,78,86,84,74,70,87,53,53,45,59,27,23,70,70,33.5,9,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,0.557,3,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6
Jaylen Clark,Minnesota Timberwolves,United States,0,SG,NA,Defensive Menace,"6'4""",205,"6'9""",NA,2,2001-10-13,68,68,60,70,69,60,79,86,55,85,79,50,66,50,68,52,81,78,50,51,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Martin,Brooklyn Nets,United States,16,SG,SF,Perimeter Defender,"6'6""",216,"6'10""",NA,2,2004-01-28,67,57,56,50,60,60,83,76,40,85,82,60,65,38,55,38,69,36,73,73,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Nowell,Washington Wizards,United States,20,PG,SG,Inside the Arc Shot Creator,"6'4""",201,"6'7""",NA,6,1999-07-09,74,91,85,71,78,85,81,80,39,85,80,64,75,68,46,29,60,46,32,41,54,24,6.2,13,1,16.5,2.6,6,0.436,0.5,2.2,0.207,2.2,3.8,0.571,0.474,0.5,0.7,0.778,0.5,1.4,1.8,1.5,0.3,0.2,0.5,1.2
Jaylen Wells,Memphis Grizzlies,United States,0,SF,PF,3PT Shot Creator,"6'8""",205,"7'0""",NA,1,2003-08-26,68,64,72,79,81,50,86,75,60,85,80,54,75,54,44,51,60,33,30,44,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Williams,Oklahoma City Thunder,United States,6,C,NA,Stretch Five,"6'9""",240,"7'1""",2019699,3,2002-06-29,75,79,76,80,70,85,50,57,60,78,80,62,59,69,62,74,45,43,67,48,84,21,4,69,1,13,1.4,3.3,0.417,0.8,2.1,0.368,0.6,1.2,0.5,0.533,0.5,0.6,0.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4
Jaylon Tyson,Cleveland Cavaliers,United States,24,SF,PF,Perimeter Shot Creator,"6'7""",210,"6'11""",3326160,1,2002-12-02,70,75,78,76,79,45,80,76,63,85,80,69,75,68,52,50,67,46,50,41,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayson Tatum,Boston Celtics,United States,0,PF,SF,2-Way Scoring Phenom,"6'8""",210,"6'10""",34848340,8,1998-03-03,95,92,96,87,79,98,82,88,71,95,80,78,86,84,74,81,87,42,53,39,78,25,26.9,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6,11,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1,0.6,2.5,2
JD Davison,Boston Celtics,United States,20,PG,SG,Rim Attacker,"6'1""",195,"6'7""",NA,3,2002-10-03,69,70,73,71,73,50,85,85,54,88,80,72,86,75,52,25,56,69,61,36,55,21,2,8,0,4.9,0.6,1.5,0.417,0.4,0.9,0.429,0.3,0.6,0.4,0.542,0.4,0.5,0.75,0.3,1,1.3,1.3,0.1,0.1,0.3,0.5
Nate Williams,Houston Rockets,United States,19,SF,SG,Catch & Shoot Threat,"6'5""",205,"7'2""",NA,3,1999-02-12,69,70,79,75,85,50,68,68,52,80,83,65,71,66,46,40,52,40,53,67,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Dowtin,Philadelphia 76ers,United States,11,PG,SG,Steady Playmaker,"6'3""",177,"6'7""",NA,5,1997-05-10,70,74,72,79,76,75,70,70,30,80,80,75,78,75,50,30,60,73,40,36,60,26,4.3,12,0,11.8,1.7,3,0.556,0.8,1.6,0.474,0.9,1.4,0.647,0.681,0.3,0.3,0.75,0.3,1.4,1.7,2.3,0.6,0.1,0.4,0.1
Jeff Green,Houston Rockets,United States,32,PF,C,Balanced 2-Way Threat,"6'8""",235,"7'1""",9600000,18,1986-08-28,74,88,75,76,82,50,63,75,70,89,82,69,74,70,59,69,70,32,62,43,52,37,6.5,78,6,16.8,2.1,4.7,0.456,0.7,2.1,0.331,1.5,2.6,0.553,0.529,1.6,1.9,0.819,0.6,1.7,2.3,0.9,0.2,0.4,0.6,1.3
Jerami Grant,Portland Trail Blazers,United States,9,SF,PF,2-Way 3-Level Shot Creator,"6'7""",210,"7'3""",29793104,11,1994-03-12,82,81,88,84,83,70,77,77,69,95,82,69,76,70,65,70,69,37,58,35,50,29,21,54,54,33.9,7.1,15.7,0.451,2.1,5.1,0.402,5,10.6,0.474,0.516,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2
Jeremiah Robinson-Earl,New Orleans Pelicans,United States,50,PF,C,Inside-Out Scoring Threat,"6'8""",240,"6'10""",2196970,4,2000-11-03,72,87,66,76,83,75,62,62,60,80,80,65,69,66,51,66,40,40,51,63,69,23,2.9,39,1,8.6,1.2,2.4,0.474,0.3,1,0.333,0.8,1.4,0.571,0.542,0.3,0.4,0.75,0.6,1.4,1.9,0.5,0.3,0.1,0.4,0.6
Jeremy Sochan,San Antonio Spurs,Poland,10,PF,PG,Small Ball Four,"6'8""",230,"7'0""",5570040,3,2003-05-20,77,73,67,74,78,80,70,74,60,90,80,79,79,82,62,65,74,41,55,58,67,20,11.6,74,73,29.6,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3
Jericho Sims,New York Knicks,United States,20,C,NA,Interior Scorer,"6'10""",250,"7'3""",2092344,4,1998-10-20,72,68,69,26,52,60,80,80,65,85,80,30,35,32,53,66,40,33,70,73,69,25,2,45,11,13,0.8,1.2,0.691,0,0,0,0.8,1.2,0.691,0.691,0.4,0.5,0.667,1.2,2,3.3,0.6,0.2,0.4,0.4,1
Jermaine Samuels Jr.,Houston Rockets,United States,00,PF,SF,Rim Rocker,"6'6""",230,"6'9""",NA,3,1998-11-13,68,66,66,69,63,50,81,78,66,85,80,52,62,52,52,63,63,42,47,66,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jett Howard,Orlando Magic,United States,13,SF,SG,Perimeter Shot Creator,"6'6""",215,"6'9""",5278320,2,2003-09-14,71,74,78,79,80,55,69,69,58,90,80,69,73,65,56,55,67,43,56,43,58,20,1.6,18,0,3.7,0.6,1.7,0.333,0.4,1.4,0.28,0.2,0.3,0.6,0.45,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.2
Jevon Carter,Chicago Bulls,United States,5,PG,SG,Perimeter Threat,"6'1""",200,"6'4""",6500000,7,1995-09-14,73,92,89,76,82,80,76,83,60,85,81,75,79,70,63,34,79,53,56,31,38,28,5,72,0,13.9,1.9,5.1,0.378,1.1,3.3,0.329,0.8,1.8,0.466,0.484,0.1,0.1,0.571,0.2,0.7,0.8,1.3,0.5,0.2,0.5,1
Jimmy Butler,Miami Heat,United States,22,SF,PF,2-Way Inside-Out Point Forward,"6'7""",230,"6'8""",48798677,14,1989-09-14,89,89,81,83,89,58,84,92,76,97,81,85,86,89,81,80,90,75,45,55,54,34,20.8,60,60,34,6.6,13.2,0.499,1,2.4,0.414,5.6,10.8,0.519,0.537,6.6,7.7,0.858,1.8,3.6,5.3,5,1.3,0.3,1.7,1.1
Jock Landale,Houston Rockets,Australia,2,C,NA,Inside the Arc Threat,"6'11""",255,"7'3""",8000000,7,1995-10-25,76,94,75,63,75,75,54,54,64,80,80,58,52,64,57,65,48,41,80,81,54,28,4.9,56,3,13.6,1.9,3.7,0.515,0.2,0.7,0.25,1.7,3,0.578,0.539,0.9,1.2,0.8,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3
Joe Ingles,Minnesota Timberwolves,Australia,7,SF,PF,3 & D Wing,"6'9""",220,"6'10""",2087519,16,1987-10-02,74,64,75,86,86,60,66,80,64,92,80,75,70,75,65,58,80,53,35,34,56,36,4.4,68,0,17.2,1.5,3.3,0.436,1,2.4,0.435,0.4,1,0.439,0.59,0.4,0.5,0.824,0.3,1.8,2.1,3,0.6,0.1,1,1.3
Joel Embiid,Philadelphia 76ers,Cameroon,21,C,NA,2-Way 3-Level Scorer,"7'0""",280,"7'5""",51415938,11,1994-03-16,96,97,96,82,89,80,69,69,96,95,76,74,57,82,77,92,68,49,82,83,94,29,34.7,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9
John Collins,Utah Jazz,United States,20,C,PF,Inside-Out Scoring Threat,"6'9""",226,"6'11""",26580000,8,1997-09-23,80,95,69,81,75,60,71,65,75,92,84,37,60,66,57,74,49,37,68,67,85,26,15.1,68,66,28,5.8,11,0.532,1.3,3.4,0.371,4.6,7.6,0.605,0.59,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8
John Konchar,Memphis Grizzlies,United States,46,SG,SF,Perimeter Shot Creator,"6'5""",210,"6'8""",6165000,6,1996-03-22,72,73,76,76,78,65,62,69,40,93,84,74,76,79,59,54,62,63,80,57,70,27,4.3,55,23,21.3,1.6,3.8,0.423,0.7,2.2,0.317,0.9,1.6,0.568,0.514,0.4,0.5,0.84,1.3,3.4,4.7,2,0.9,0.9,0.8,1.4
Johnny Davis,Washington Wizards,United States,1,SG,SF,Inside-Out Shot Creator,"6'4""",195,"6'8""",5291160,3,2002-02-27,70,70,60,76,70,60,78,79,54,85,80,70,82,70,60,68,73,42,52,40,48,21,3,50,6,12.3,1.2,3.1,0.403,0.3,0.8,0.35,1,2.3,0.421,0.448,0.3,0.5,0.583,0.4,1.1,1.4,0.6,0.4,0.2,0.3,1.1
Johnny Furphy,Indiana Pacers,Australia,7,PF,SF,Stretch Four,"6'9""",210,"7'1""",NA,1,2004-12-07,70,77,77,79,77,55,79,63,54,85,80,60,59,64,50,52,57,43,45,57,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Juzang,Utah Jazz,United States,33,SF,SG,3PT Shot Creator,"6'7""",209,"6'11""",NA,3,2001-03-17,69,84,73,79,84,40,70,70,55,85,80,59,72,62,47,50,58,31,37,35,46,22,7.2,20,5,18.6,2.6,5.5,0.464,1.6,3.9,0.416,1,1.7,0.576,0.609,0.5,0.7,0.714,0.4,1.5,1.8,1.2,0.2,0.1,0.7,1.5
Jonas Valanciunas,Washington Wizards,Lithuania,17,C,NA,Inside The Arc Board Hunter,"6'11""",265,"7'3""",9900000,14,1992-05-06,82,97,88,74,79,75,62,48,89,90,81,36,35,65,60,75,43,35,74,74,92,31,12.2,82,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7
Jonathan Isaac,Orlando Magic,United States,1,PF,NA,2-Way Slashing Stretch Four,"6'10""",230,"7'1""",25000000,8,1997-10-03,78,71,73,81,81,50,73,80,70,75,67,65,76,55,82,83,83,70,92,68,85,26,6.8,58,2,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3,0.598,0.584,1,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1
Jonathan Kuminga,Golden State Warriors,DR Congo,00,PF,SF,3-Level Scoring Threat,"6'7""",225,"6'11""",7636307,4,2002-10-06,80,95,80,75,71,70,84,84,73,88,80,69,67,60,62,73,73,42,56,51,62,21,16.1,74,46,26.3,6.2,11.6,0.529,0.7,2.2,0.321,5.4,9.4,0.578,0.56,3,4,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,2.3
Jonathan Mogbo,Toronto Raptors,United States,2,PF,C,Interior Threat,"6'8""",215,"7'0""",NA,1,2001-10-29,69,70,47,30,59,50,91,79,68,88,80,66,70,67,65,64,64,75,55,64,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Clarkson,Utah Jazz,United States,00,SG,SF,3-Level Slasher,"6'3""",194,"6'8""",14092577,11,1992-06-07,78,91,81,79,83,70,79,82,54,80,83,79,88,81,46,43,65,37,32,41,47,31,17.1,55,19,30.6,6.1,14.8,0.413,1.7,5.6,0.294,4.5,9.2,0.485,0.469,3.2,3.7,0.881,0.9,2.5,3.4,5,0.6,0.1,2.7,1.5
Jordan Goodwin,Los Angeles Lakers,United States,12,SG,PG,Steady Combo Guard,"6'4""",200,"6'10""",325590,4,1998-10-23,74,69,71,72,87,75,75,76,49,80,80,78,78,78,64,47,71,66,56,70,70,25,6.5,57,12,18.5,2.5,6.7,0.369,0.7,2.5,0.298,1.7,4.2,0.411,0.424,0.8,1,0.746,1.5,2.9,4.4,2.7,0.8,0.3,1,1.3
